gene	0h_AL	1h_AL	1h_FAST	3h_AL	3h_FAST	4h_RF	6h_AL	6h_FAST	12h_AL	12h_FAST	24h_AL	24h_FAST
Arhgap44	4.918625585477859	5.33983417606259	5.331860919049886	4.609804672624833	3.93814231312298	9.74805946994032	5.951171829452553	6.468574745919184	7.761162744361373	7.59523800775439	7.07352739222742	6.891440083569194
Arhgap45	9.400181405863185	9.157812461778216	4.188544446946323	8.490871973798146	11.594556527151568	5.41129200980078	10.094334992830214	4.650462325899212	2.767179519079445	2.9471334955568085	7.096344017489448	5.7884169086430095
Arhgap5	7.9756798355911975	5.017491552620278	4.890600150534005	5.4535193786240805	8.73253847887946	5.178053106993396	13.090916692924637	5.8463376241821585	3.7385340223896764	2.2890456188493973	6.240941955228269	3.952618028536605
Arhgap6	11.442684060490821	14.27428237594992	17.309597311450155	21.518734581148113	27.179104252078314	14.729582748607545	9.966743698218146	21.494091543522572	9.68343255662969	11.582216620333686	8.740154373424541	17.903920887903773
Arhgap8	1.454550497192531	0.4555597590386073	0.5424229045602589	2.3379983557809045	1.3064848457115372	2.2516452579724513	0.188192528030333	1.5108946482322712	0.28287916996820595	1.8824570553638293	0.39036742602440805	1.235440818338125
Arhgap9	3.4430228225659114	4.393753026087153	0.892486776846935	3.7217153366596856	3.1112946401977717	1.3118458982131933	1.7117475312779802	2.3494547705315654	1.0859586819711795	1.5775364513949737	2.170363669218296	2.741999619331329
Arhgdia	555.6194092753121	825.7481686069564	1359.921536676929	644.2520656597477	1361.4453392054565	1129.7356386626257	550.8640926429152	1025.7643231750312	695.066889301285	1268.9965705206746	756.7654154282192	1631.8330214085454
Arhgdib	33.54366165498006	29.742544194584024	6.340741023326922	36.68984508589791	34.9688566491735	6.507873753273286	50.17516778870602	26.882451784289536	11.022809660875236	10.936165995359646	35.71485004043364	19.70283727104404
Arhgdig	12.107048305310922	33.34568543973501	22.250659190475993	16.806987995632603	21.449020266969953	64.70201998792841	25.61533809269055	25.48740672013921	36.48162546783844	35.51975493039379	20.267003889117813	41.86838802346948
Arhgef1	438.60184161307455	264.48425599644963	123.32296966381139	238.66811582552248	253.25768271125511	157.5452988725278	258.44667466135405	188.5127586864761	94.24183279978058	46.67687617975667	294.18731113778824	206.59268110439913
Arhgef10	33.63949484491016	36.350370608737315	36.77183232138037	18.96957039418555	17.394180093387703	25.779254708504688	27.73382034486459	18.65531001325063	19.483876019631857	15.439486428816446	38.10572131909344	34.296370012720104
Arhgef10l	24.343547881436947	18.27534018949974	11.82999515466918	20.791296253783198	17.45084862886312	7.112142458380887	9.677521040970992	12.672289332228141	7.578623688786579	3.92469444753395	12.603254584653563	9.392631547199331
Arhgef11	2.0073336528355963	1.364425092763709	0.7306887561361628	1.1310499591328351	0.6926407637573603	0.8238496720253442	1.1143682210023433	1.0731812475311608	0.6671107061643079	1.584889940339066	1.4555814674422196	1.1258361743260787
Arhgef12	12.010341125585846	10.22922244103061	11.380304540805522	10.89158129678434	15.153011494412661	4.168698158414094	10.151931362266737	10.373912231089774	4.632268667395019	5.273560785726769	8.217910943426713	6.585281766003798
Arhgef15	11.862460652409943	11.738153201848434	17.716491136352467	11.95991174648781	13.605220461109742	3.8866327482944474	6.533310787955857	6.077524405555545	7.290756396062847	15.428201883606109	6.984447503245433	4.502327970874266
Arhgef16	24.28863340336418	34.2278938163616	34.814423909793966	28.87449268540081	22.414947903233937	20.18231323571054	18.590201823576017	27.08123906495358	20.66974092224568	17.365421321147785	19.38154977989263	23.503846042474134
Arhgef17	0.5625659218126996	0.996373729706908	0.5401513599076492	0.6395231176073125	0.9357348292517547	0	0.6885485843001262	0.3144512827030428	0.4438996526548329	0.3070233921008697	0.5704734876119754	0.8006798104906667
Arhgef18	294.12955615862637	389.25193082172694	414.95441172560896	307.47932795423236	205.18657615488308	425.8015327252076	265.7900095548007	236.32381171643016	350.50600026289436	321.68959928662457	329.26725669089524	273.7521081066944
Arhgef19	34.455808950010145	31.300032248325284	11.909637777871488	24.87851443996625	23.49975376211183	15.017159660987769	20.283835123398514	12.4365232394382	16.694540380262264	4.902923595561796	26.46765960275982	21.775197945231398
